timestamp,gender,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,ALL
1608768000,M,6,21,82,172,93,44,418
1608854400,A,5,28,152,305,191,156,837
1608854400,F,3,8,85,183,98,100,477
1608854400,M,2,20,67,122,93,56,360
1608940800,A,2,8,59,160,103,62,394
1608940800,F,1,4,29,102,50,37,223
1608940800,M,1,4,30,58,53,25,171
1609027200,A,1,0,52,90,61,62,266
1609027200,F,1,0,29,57,30,34,151
1609027200,M,0,0,22,33,31,28,114
1609113600,A,3,11,107,267,139,96,623
1609113600,F,2,6,62,165,68,64,367
1609113600,M,1,5,45,102,71,32,256
1609200000,A,11,22,189,504,252,149,1127
1609200000,F,6,8,105,286,115,102,622
1609200000,M,5,14,84,218,137,47,505
1609286400,A,12,45,265,640,360,249,1571
1609286400,F,7,18,148,363,187,172,895
1609286400,M,5,27,117,277,173,77,676
1609372800,A,13,27,199,376,209,108,932
1609372800,F,4,17,112,206,120,69,528
1609372800,M,9,10,87,170,89,39,404
1609459200,A,6,20,111,226,91,106,560
1609459200,F,1,7,63,149,54,73,347
1609459200,M,5,13,48,77,37,33,213
1609545600,A,4,8,69,149,91,87,408
1609545600,F,3,2,38,90,48,48,229
1609545600,M,1,6,31,59,43,39,179
1609632000,A,2,6,51,97,63,64,283
1609632000,F,2,2,26,64,30,48,172
1609632000,M,0,4,25,33,33,16,111
1609718400,A,4,8,120,225,99,75,531
1609718400,F,1,5,54,146,51,44,301
1609718400,M,3,3,66,79,48,31,230
1609804800,A,12,31,273,496,282,179,1273
1609804800,F,6,12,168,298,141,121,746
1609804800,M,6,19,105,197,141,58,526
1609891200,A,15,42,314,540,291,185,1387
1609891200,F,7,18,162,311,158,113,769
1609891200,M,8,24,152,229,133,72,618
1609977600,A,14,30,321,570,294,231,1460
1609977600,F,7,17,168,308,147,167,814
1609977600,M,6,13,153,261,147,64,644
1610064000,A,12,38,275,524,278,207,1334
1610064000,F,5,22,136,316,148,136,763
1610064000,M,7,16,139,208,130,71,571
