timestamp,gender,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+
1599177600,M,18,60,388,627,405,181
1599264000,A,37,114,816,1471,764,534
1599264000,F,19,54,427,843,356,352
1599264000,M,18,60,389,628,408,182
1599350400,A,37,114,819,1472,766,534
1599350400,F,19,54,429,843,358,352
1599350400,M,18,60,390,629,408,182
1599436800,A,37,114,823,1475,768,534
1599436800,F,19,54,430,844,359,352
1599436800,M,18,60,393,631,409,182
1599523200,A,37,115,827,1487,774,537
1599523200,F,19,55,432,850,363,355
1599523200,M,18,60,395,637,411,182
1599609600,A,37,115,831,1493,785,538
1599609600,F,19,55,434,853,371,356
1599609600,M,18,60,397,640,414,182
1599696000,A,37,119,836,1505,789,538
1599696000,F,19,57,437,861,374,356
1599696000,M,18,62,399,644,415,182
1599782400,A,37,119,844,1520,795,539
1599782400,F,19,57,440,868,379,357
1599782400,M,18,62,404,652,416,182
1599868800,A,39,119,851,1523,799,541
1599868800,F,20,57,445,868,383,357
1599868800,M,19,62,406,655,416,184
1599955200,A,39,119,855,1528,805,544
1599955200,F,20,57,447,871,388,360
1599955200,M,19,62,408,657,417,184
1600041600,A,39,120,862,1534,813,546
1600041600,F,20,58,451,874,393,361
1600041600,M,19,62,411,660,420,185
1600128000,A,39,120,868,1543,817,547
1600128000,F,20,58,454,881,396,362
1600128000,M,19,62,414,662,421,185
1600214400,A,39,124,875,1548,820,554
1600214400,F,20,60,456,885,398,367
1600214400,M,19,64,419,663,422,187
1600300800,A,39,124,878,1555,823,555
1600300800,F,20,60,457,886,399,368
1600300800,M,19,64,421,669,424,187
1600387200,A,39,125,883,1567,827,557
1600387200,F,20,61,460,894,403,369
1600387200,M,19,64,423,673,424,188
1600473600,A,39,127,883,1569,828,557
1600473600,F,20,61,460,895,404,369
1600473600,M,19,66,423,674,424,188
1600560000,A,39,127,886,1574,829,557
1600560000,F,20,61,462,896,405,369
1600560000,M,19,66,424,678,424,188
1600646400,A,39,127,890,1582,834,558
1600646400,F,20,61,464,900,408,369
1600646400,M,19,66,426,682,426,189
1600732800,A,39,127,896,1585,837,559
1600732800,F,20,61,466,902,409,370
1600732800,M,19,66,430,683,428,189
1600819200,A,39,129,903,1590,841,562
1600819200,F,20,62,471,906,412,373
1600819200,M,19,67,432,684,429,189
1600905600,A,39,131,906,1595,843,565
1600905600,F,20,63,471,908,413,375
1600905600,M,19,68,435,687,430,190
1600992000,A,39,132,911,1601,847,568
1600992000,F,20,64,474,910,414,376
1600992000,M,19,68,437,691,433,192
1601078400,A,39,132,913,1608,851,572
1601078400,F,20,64,476,911,418,378
1601078400,M,19,68,437,697,433,194
1601164800,A,39,132,915,1614,854,574
1601164800,F,20,64,477,915,419,379
1601164800,M,19,68,438,699,435,195
1601251200,A,39,133,917,1622,860,575
1601251200,F,20,64,478,918,422,379
1601251200,M,19,69,439,704,438,196
1601337600,A,39,135,922,1626,866,577
1601337600,F,20,65,482,919,426,381
1601337600,M,19,70,440,707,440,196
1601424000,A,41,137,931,1635,874,580
1601424000,F,22,66,485,924,433,382
1601424000,M,19,71,446,711,441,198
1601510400,A,42,139,936,1651,879,583
1601510400,F,23,68,487,933,434,383
1601510400,M,19,71,449,718,445,200
1601596800,A,43,139,947,1661,891,587
1601596800,F,24,68,491,936,440,386
1601596800,M,19,71,456,725,451,201
1601683200,A,43,142,953,1671,903,589
1601683200,F,24,69,493,945,446,387
1601683200,M,19,73,460,726,457,202
1601769600,A,43,143,961,1678,911,590
1601769600,F,24,69,495,950,452,387
1601769600,M,19,74,466,728,459,203
1601856000,A,43,145,975,1694,926,592
1601856000,F,24,70,504,962,459,389
1601856000,M,19,75,471,732,467,203
1601942400,A,43,147,990,1709,937,596
1601942400,F,24,71,513,969,464,393
1601942400,M,19,76,477,740,473,203
1602028800,A,43,150,999,1729,947,597
1602028800,F,24,73,519,981,467,394
1602028800,M,19,77,480,748,480,203
1602115200,A,43,151,1006,1745,960,598
1602115200,F,24,74,522,988,474,395
1602115200,M,19,77,484,757,486,203
1602201600,A,44,154,1023,1771,982,600
1602201600,F,25,75,531,998,488,396
1602201600,M,19,79,492,773,494,204
1602288000,A,44,156,1035,1795,998,613
1602288000,F,25,77,540,1012,499,403
1602288000,M,19,79,495,783,499,210
1602374400,A,44,158,1049,1806,1008,616
1602374400,F,25,78,547,1017,502,405
1602374400,M,19,80,502,789,506,211
1602460800,A,46,158,1067,1843,1035,617
1602460800,F,26,78,553,1037,516,405
1602460800,M,20,80,514,806,519,212
1602547200,A,46,162,1101,1879,1062,626
1602547200,F,26,79,567,1058,525,410
1602547200,M,20,83,534,821,537,216
1602633600,A,46,164,1135,1925,1083,634
1602633600,F,26,80,586,1084,538,414
1602633600,M,20,84,549,841,545,220
1602720000,A,46,165,1162,1958,1102,638
1602720000,F,26,81,602,1101,550,415
1602720000,M,20,84,560,857,552,223
1602806400,A,49,169,1187,1997,1136,651
1602806400,F,26,84,614,1119,571,424
1602806400,M,23,85,573,878,565,227
1602892800,A,51,172,1210,2039,1164,659
1602892800,F,27,85,625,1139,588,427
1602892800,M,24,87,585,900,576,232
1602979200,A,51,174,1234,2069,1184,669
1602979200,F,27,87,637,1158,595,434
1602979200,M,24,87,597,911,589,235
1603065600,A,51,180,1277,2119,1220,680
1603065600,F,27,92,657,1180,613,442
1603065600,M,24,88,620,939,607,238
1603152000,A,51,185,1317,2177,1253,698
1603152000,F,27,95,674,1211,630,453
1603152000,M,24,90,643,966,623,245
1603238400,A,55,193,1365,2230,1292,710
1603238400,F,30,97,694,1243,653,460
1603238400,M,25,96,671,987,639,250
1603324800,A,57,198,1414,2300,1329,732
