Timestamp,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz,Hospitalisierung_Faelle
1585958400,00+,80,3.77,11.43
1585958400,00-04,0,0.00,0.00
1585958400,05-14,0,0.00,0.00
1585958400,15-34,3,0.77,0.43
1585958400,35-59,17,2.35,2.43
1585958400,60-79,38,6.79,5.43
1585958400,80+,22,12.28,3.14
1586044800,00+,71,3.35,10.14
1586044800,00-04,0,0.00,0.00
1586044800,05-14,0,0.00,0.00
1586044800,15-34,3,0.77,0.43
1586044800,35-59,13,1.80,1.86
1586044800,60-79,34,6.08,4.86
1586044800,80+,21,11.72,3.00
1586131200,00+,77,3.63,11.00
1586131200,00-04,0,0.00,0.00
1586131200,05-14,0,0.00,0.00
1586131200,15-34,3,0.77,0.43
1586131200,35-59,13,1.80,1.86
1586131200,60-79,35,6.26,5.00
1586131200,80+,26,14.51,3.71
1586217600,00+,77,3.63,11.00
1586217600,00-04,0,0.00,0.00
1586217600,05-14,0,0.00,0.00
1586217600,15-34,2,0.52,0.29
1586217600,35-59,14,1.94,2.00
1586217600,60-79,38,6.79,5.43
1586217600,80+,23,12.84,3.29
1586304000,00+,79,3.73,11.29
1586304000,00-04,0,0.00,0.00
1586304000,05-14,0,0.00,0.00
1586304000,15-34,2,0.52,0.29
1586304000,35-59,13,1.80,1.86
1586304000,60-79,41,7.33,5.86
1586304000,80+,23,12.84,3.29
1586390400,00+,73,3.44,10.43
1586390400,00-04,0,0.00,0.00
1586390400,05-14,0,0.00,0.00
1586390400,15-34,2,0.52,0.29
1586390400,35-59,11,1.52,1.57
1586390400,60-79,38,6.79,5.43
1586390400,80+,22,12.28,3.14
1586476800,00+,74,3.49,10.57
1586476800,00-04,0,0.00,0.00
1586476800,05-14,0,0.00,0.00
1586476800,15-34,1,0.26,0.14
1586476800,35-59,13,1.80,1.86
1586476800,60-79,37,6.61,5.29
1586476800,80+,23,12.84,3.29
1586563200,00+,75,3.54,10.71
1586563200,00-04,0,0.00,0.00
1586563200,05-14,0,0.00,0.00
1586563200,15-34,0,0.00,0.00
1586563200,35-59,11,1.52,1.57
1586563200,60-79,40,7.15,5.71
1586563200,80+,24,13.40,3.43
1586649600,00+,73,3.44,10.43
1586649600,00-04,0,0.00,0.00
1586649600,05-14,0,0.00,0.00
1586649600,15-34,0,0.00,0.00
1586649600,35-59,10,1.38,1.43
1586649600,60-79,40,7.15,5.71
1586649600,80+,23,12.84,3.29
1586736000,00+,72,3.40,10.29
1586736000,00-04,0,0.00,0.00
1586736000,05-14,0,0.00,0.00
1586736000,15-34,0,0.00,0.00
1586736000,35-59,10,1.38,1.43
1586736000,60-79,40,7.15,5.71
1586736000,80+,22,12.28,3.14
1586822400,00+,70,3.30,10.00
1586822400,00-04,0,0.00,0.00
1586822400,05-14,0,0.00,0.00
1586822400,15-34,0,0.00,0.00
1586822400,35-59,8,1.11,1.14
1586822400,60-79,37,6.61,5.29
1586822400,80+,25,13.95,3.57
