Timestamp,Altersgruppe,7T_Hospitalisierung_Inzidenz,7T_Inzidenz
1587168000,00-04,0.00,0.63
1587168000,05-14,0.54,1.96
1587168000,15-34,0.52,16.51
1587168000,35-59,0.97,14.55
1587168000,60-79,5.18,10.62
1587168000,80+,13.95,29.16
1587254400,00-04,0.00,0.48
1587254400,05-14,0.54,2.44
1587254400,15-34,0.52,16.29
1587254400,35-59,1.11,13.83
1587254400,60-79,4.83,10.69
1587254400,80+,16.74,31.52
1587340800,00-04,0.00,0.48
1587340800,05-14,0.54,3.06
1587340800,15-34,0.52,16.65
1587340800,35-59,0.97,13.65
1587340800,60-79,4.47,11.05
1587340800,80+,15.63,33.46
1587427200,00-04,0.00,0.48
1587427200,05-14,0.54,3.61
1587427200,15-34,1.03,17.12
1587427200,35-59,0.83,14.01
1587427200,60-79,5.72,11.64
1587427200,80+,16.74,35.57
1587513600,00-04,0.00,0.63
1587513600,05-14,1.09,3.85
1587513600,15-34,1.03,17.15
1587513600,35-59,1.11,14.36
1587513600,60-79,5.72,12.17
1587513600,80+,17.86,36.66
1587600000,00-04,0.00,0.95
1587600000,05-14,1.09,4.01
1587600000,15-34,1.03,17.30
1587600000,35-59,1.25,14.80
1587600000,60-79,5.90,12.58
1587600000,80+,20.09,37.68
1587686400,00-04,1.14,1.42
1587686400,05-14,1.09,3.69
1587686400,15-34,0.77,17.30
1587686400,35-59,1.25,14.94
1587686400,60-79,6.44,12.99
1587686400,80+,17.86,37.25
1587772800,00-04,1.14,1.90
1587772800,05-14,0.54,3.38
1587772800,15-34,0.52,17.40
1587772800,35-59,1.52,15.29
1587772800,60-79,6.79,13.60
1587772800,80+,18.42,36.75
1587859200,00-04,1.14,2.37
1587859200,05-14,0.54,2.91
1587859200,15-34,0.77,17.51
1587859200,35-59,1.52,15.66
1587859200,60-79,6.97,13.73
1587859200,80+,16.19,35.65
1587945600,00-04,1.14,2.53
1587945600,05-14,0.54,2.36
1587945600,15-34,0.77,16.90
1587945600,35-59,1.52,15.93
1587945600,60-79,6.97,13.78
1587945600,80+,15.63,35.15
1588032000,00-04,1.14,2.84
1588032000,05-14,0.54,1.89
1588032000,15-34,0.26,16.36
1588032000,35-59,1.66,15.84
1588032000,60-79,6.44,13.55
1588032000,80+,13.95,34.47
1588118400,00-04,1.14,2.84
1588118400,05-14,0.00,1.57
1588118400,15-34,0.26,15.75
1588118400,35-59,1.38,15.72
1588118400,60-79,6.79,13.34
1588118400,80+,17.30,34.89
1588204800,00-04,1.14,2.84
1588204800,05-14,0.00,1.18
1588204800,15-34,0.26,14.74
1588204800,35-59,1.38,15.19
1588204800,60-79,6.97,13.04
1588204800,80+,15.63,34.81
1588291200,00-04,0.00,2.53
1588291200,05-14,0.00,1.02
1588291200,15-34,0.52,13.77
1588291200,35-59,1.52,14.77
1588291200,60-79,6.79,12.73
1588291200,80+,19.53,35.65
1588377600,00-04,0.00,2.21
1588377600,05-14,0.00,0.86
1588377600,15-34,0.52,12.73
1588377600,35-59,1.11,14.07
1588377600,60-79,6.08,12.27
1588377600,80+,18.98,36.24
1588464000,00-04,0.00,1.90
1588464000,05-14,0.00,0.86
1588464000,15-34,0.26,11.61
1588464000,35-59,1.11,13.38
1588464000,60-79,5.72,11.92
1588464000,80+,19.53,37.42
1588550400,00-04,0.00,1.74
1588550400,05-14,0.00,0.79
1588550400,15-34,0.26,10.82
1588550400,35-59,1.11,12.33
1588550400,60-79,5.72,11.38
1588550400,80+,18.42,36.66
1588636800,00-04,0.00,1.27
1588636800,05-14,0.00,0.71
1588636800,15-34,0.26,10.25
1588636800,35-59,0.97,11.42
1588636800,60-79,5.01,10.77
1588636800,80+,18.98,36.50
1588723200,00-04,0.00,0.95
1588723200,05-14,0.00,0.71
1588723200,15-34,0.26,9.96
1588723200,35-59,1.11,10.44
1588723200,60-79,3.93,10.04
1588723200,80+,14.51,35.57
1588809600,00-04,0.00,0.63
1588809600,05-14,0.00,0.79
1588809600,15-34,0.52,9.92
1588809600,35-59,0.83,9.88
1588809600,60-79,3.58,9.55
1588809600,80+,20.09,35.06
1588896000,00-04,0.00,0.48
1588896000,05-14,0.00,1.02
1588896000,15-34,0.26,9.96
1588896000,35-59,0.55,9.41
1588896000,60-79,2.86,9.19
1588896000,80+,18.98,34.47
1588982400,00-04,0.00,0.32
1588982400,05-14,0.00,1.26
1588982400,15-34,0.26,10.14
1588982400,35-59,0.69,9.18
1588982400,60-79,2.86,8.97
1588982400,80+,19.53,34.39
1589068800,00-04,0.00,0.16
1589068800,05-14,0.00,1.34
1589068800,15-34,0.52,10.39
1589068800,35-59,0.69,9.08
1589068800,60-79,3.04,8.74
1589068800,80+,20.09,33.63
1589155200,00-04,0.00,0.00
1589155200,05-14,0.00,1.57
1589155200,15-34,0.52,10.72
1589155200,35-59,0.69,9.27
1589155200,60-79,3.22,8.56
1589155200,80+,20.65,33.04
1589241600,00-04,0.00,0.00
1589241600,05-14,0.00,1.89
1589241600,15-34,0.52,10.47
1589241600,35-59,0.83,9.49
1589241600,60-79,3.04,8.30
1589241600,80+,23.44,31.19
1589328000,00-04,0.00,0.00
1589328000,05-14,0.00,2.04
1589328000,15-34,1.03,10.00
1589328000,35-59,0.83,9.78
1589328000,60-79,3.22,8.02
1589328000,80+,21.77,28.91
1589414400,00-04,0.00,0.00
1589414400,05-14,0.00,2.20
1589414400,15-34,1.03,9.32
1589414400,35-59,0.97,9.90
1589414400,60-79,2.50,7.64
1589414400,80+,16.74,26.80
1589500800,00-04,0.00,0.00
1589500800,05-14,0.00,2.28
1589500800,15-34,1.03,8.60
1589500800,35-59,0.97,9.90
1589500800,60-79,2.50,7.08
1589500800,80+,13.95,24.53
1589587200,00-04,0.00,0.00
1589587200,05-14,0.00,2.51
1589587200,15-34,1.29,7.73
1589587200,35-59,0.83,9.90
1589587200,60-79,3.04,6.47
1589587200,80+,13.95,22.08
1589673600,00-04,0.00,0.00
1589673600,05-14,1.09,2.83
1589673600,15-34,1.03,6.73
1589673600,35-59,0.69,9.55
1589673600,60-79,2.68,5.96
1589673600,80+,12.28,19.30
1589760000,00-04,0.00,0.16
1589760000,05-14,1.09,3.06
1589760000,15-34,1.03,5.65
1589760000,35-59,0.69,9.29
1589760000,60-79,2.50,5.63
1589760000,80+,11.72,17.28
1589846400,00-04,0.00,0.32
1589846400,05-14,1.09,3.14
1589846400,15-34,1.03,4.96
1589846400,35-59,0.55,9.18
1589846400,60-79,2.50,5.52
1589846400,80+,7.81,16.01
1589932800,00-04,0.00,0.48
1589932800,05-14,1.09,3.30
1589932800,15-34,0.52,4.46
1589932800,35-59,0.28,9.06
1589932800,60-79,2.15,5.60
1589932800,80+,8.37,15.00
1590019200,00-04,0.00,0.63
1590019200,05-14,1.09,3.46
1590019200,15-34,0.26,4.21
1590019200,35-59,0.00,8.96
1590019200,60-79,2.15,5.60
1590019200,80+,7.26,13.74
1590105600,00-04,0.00,0.79
1590105600,05-14,1.09,3.30
1590105600,15-34,0.26,3.96
1590105600,35-59,0.00,8.88
1590105600,60-79,2.15,5.63
1590105600,80+,6.14,12.39
1590192000,00-04,0.00,0.95
1590192000,05-14,1.09,2.83
1590192000,15-34,0.00,3.78
1590192000,35-59,0.00,8.86
1590192000,60-79,1.97,5.63
1590192000,80+,6.70,11.13
1590278400,00-04,0.00,1.11
1590278400,05-14,0.00,2.51
1590278400,15-34,0.00,3.85
1590278400,35-59,0.00,9.04
1590278400,60-79,1.79,5.63
1590278400,80+,7.26,10.54
1590364800,00-04,0.00,0.95
1590364800,05-14,0.00,2.20
1590364800,15-34,0.00,4.10
1590364800,35-59,0.00,8.94
1590364800,60-79,1.79,5.70
1590364800,80+,7.26,10.28
1590451200,00-04,0.00,0.79
1590451200,05-14,0.00,2.04
1590451200,15-34,0.00,4.35
1590451200,35-59,0.14,8.75
1590451200,60-79,1.79,5.81
1590451200,80+,7.26,10.03
1590537600,00-04,0.00,0.63
1590537600,05-14,0.00,1.96
1590537600,15-34,0.00,4.61
1590537600,35-59,0.14,8.61
1590537600,60-79,2.32,5.88
1590537600,80+,6.70,11.38
1590624000,00-04,0.00,0.63
