Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
1604275200,7512,7253,258,0,0,0
1604361600,7795,7530,264,0,0,0
1604448000,8125,7851,273,0,0,0
1604534400,8432,8150,281,0,0,0
1604620800,8732,8445,286,0,0,0
1604707200,8966,8676,289,0,0,0
1604793600,9064,8770,293,0,0,0
1604880000,9271,8973,297,0,0,0
1604966400,9570,9268,301,0,0,0
1605052800,9925,9608,316,0,0,0
1605139200,10331,10000,330,0,0,0
1605225600,10719,10375,343,0,0,0
1605312000,10969,10619,349,0,0,0
1605398400,11091,10738,352,0,0,0
1605484800,11331,10973,357,0,0,0
1605571200,11765,11391,373,0,0,0
1605657600,12186,11791,394,0,0,0
1605744000,12659,12248,410,0,0,0
1605830400,13306,12876,429,0,0,0
1605916800,13782,13343,438,0,0,0
1606003200,13977,13532,444,0,0,0
1606089600,14359,13901,457,0,0,0
1606176000,14941,14468,472,0,0,0
1606262400,15493,15011,481,0,0,0
1606348800,16071,15577,493,0,0,0
1606435200,16580,16072,507,0,0,0
1606521600,16952,16437,514,0,0,0
1606608000,17202,16679,522,0,0,0
1606694400,17551,17018,532,0,0,0
1606780800,18049,17503,545,0,0,0
1606867200,18787,18218,568,0,0,0
1606953600,19678,19095,582,0,0,0
1607040000,20375,19774,600,0,0,0
1607126400,20787,20175,611,0,0,0
1607212800,21189,20567,621,0,0,0
1607299200,21623,20987,635,0,0,0
1607385600,22338,21677,660,0,0,0
1607472000,23206,22437,678,0,0,0
1607558400,24253,23348,708,0,0,0
1607644800,25295,24214,749,0,0,0
1607731200,26171,24902,768,0,0,0
1607817600,26527,25210,775,0,0,0
1607904000,27267,25828,802,0,0,0
1607990400,28141,26534,822,0,0,0
1608076800,29314,27374,853,0,0,0
1608163200,30536,28250,879,0,0,0
1608249600,31732,29117,910,0,0,0
1608336000,32605,29692,933,0,0,0
1608422400,33006,29995,949,0,0,0
1608508800,33876,30599,962,0,0,0
1608595200,35269,31698,983,0,0,0
1608681600,36823,32336,1008,0,0,0
1608768000,37822,32595,1015,0,0,0
1608854400,38671,32832,1031,0,0,0
1608940800,39077,32936,1041,0,0,0
1609027200,39344,32957,1045,0,0,0
1609113600,39953,33091,1059,0,0,0
1609200000,41049,33249,1071,0,0,0
1609286400,42592,33386,1091,0,0,0
1609372800,43535,33437,1093,0,0,0
1609459200,44097,33454,1098,0,0,0
1609545600,44505,33463,1101,0,0,0
1609632000,44763,33468,1102,0,0,0
1609718400,45112,33491,1110,0,0,0
